POWER SUPPLIERS
100,200,201,101,102,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,5200,5210,5220,5230,5240,5250,5260,5270,5280,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,1007,265,266,267,268
Org name,Gen name,Gen Ptid,Start day,Start hour,DAM Hrly LBMP MWh,DAM Hrly LBMP $,DAM Forward energy $,DAM BPCG $,DAM Startup $,Hrly R/T MWh,Hrly R/T Bus LBMP $,Hrly R/T Energy $,R/T BPCG $,R/T Startup $,Monthly Voltage Service $,% In Service,Voltage Support $,Hrly VSS LOC $,Availability Index,Hrly DAM Reg Avail,Hrly DAM Reg MCP $,Hrly Suppl Reg Avail,Hrly Supl MC $,Reg Replacement cost $,Regulation Charge $,Hrly 30 Min MCP $,Hrly 30 Min Res MWHr,Hrly Suppl 30 Min MCP $,Hrly Suppl 30 Min Res MWHr,Hrly 30 Min Res Avail $,Hrly Synch Res MCP $,Hrly Synch Res MWHr,Hrly Suppl Synch Res MCP $,Hrly Suppl Synch Res MWHr,Hrly Synch Res Avail $,Hrly 10 Min Non Synch Res MCP $,Hrly 10 Min Non Synch Res MWHr,Hrly Suppl 10 Min Non Synch MCP $,Hrly Suppl 10 Min Non Synch MWHr,Hrly 10 Min Non Synch Res Avail $,Hrly LRR DAM Contract Bal Pmnt $,Hrly DAM Contract Bal Pmnt $,Hrly Synch Res LOC $,Hrly 30 Min Res Reduc MWHr,Hrly Synch Res Reduc MWHr,Hrly 10 Min Non Synch Res Reduc MWHr,Reserve Penalty $,Avg Supply Ratio,Hrly 10Mn Non Synch Res LOC $,Out of Merit Flag,Local Reliability Flag,Out of Merit Flag Memo,Eligible Mingen Flag,Ramp rate constraint flag,Mitigated Unit Flag,Regulating Unit Flag,Dispatch Seconds,Number of Reserve Pickup Intervals,Hrly Bal Mkt Reg Avail MWHr,Hrly Bal Mkt Reg Avail $,Hrly Reg Rev Adj $,Hrly Sup Event Credit $,Injection MWHr,S SC&D MST Inject Rate,S SC&D MST Inject Charge $,S SC&D OAT Inject Rate,S SC&D OAT Inject Charge $,Misc Exp MST Inject Rate,Misc Exp MST Inject Charge $,Misc Exp OAT Inject Rate,Misc Exp OAT Inject Charge $,Hr RT Mitigated Startup Cost,Hr RT Mitigated MinGen Cost,Local BlackStart/Rest Payment $,Hrly Reg Movement MWHr,Hrly RT Reg Movement $,Hrly Reg Performance Charge $,FERC Fees OAT Inject Charge $
LSE LBMP ENERGY
100,400,401,101,102,402,403,404,405,406,407,408,409,410,411
Org name,LSE name,Bus name,Start day,Start hour,DAM Hrly LBMP MWh,DAM LBMP $,Hrly Fwd Energy $,Hrly Fwd Loss $,Hrly Fwd Cong $,LSE Hrly R/T MWh,R/T LBMP $,Hrly R/T Energy $,Hrly R/T Loss $,Hrly R/T Cong $
TRANSACTIONS
100,400,500,101,102,501,502,503,504,505,506,507,508,509,510,521,522,523,524,525,526,527,530,1004
Org name,LSE name,Trans Id,Start day,Start hour,DAM Scheduled Transactions,Hrly Transaction DAM Loss,Hrly Transaction DAM Congestion $,Hrly DAM TUC $,R/T Scheduled Transactions,R/T Loss $,R/T Congestion $,Hrly R/T TUC $,Hrly Ext. TSC MWHr,,Hrly Ext. TSC MWHr to Central Hudson,Hrly Ext. TSC MWHr to Con Ed,Hrly Ext. TSC MWHr to LIPA,Hrly Ext. TSC MWHr to NYPA,Hrly Ext. TSC MWHr to OR,Hrly Ext. TSC MWHr to NYSEG,Hrly Ext. TSC MWHr to NIMO,Hrly Fin Impact Charge $,Ext Proxy Bus POW PTID
TRANSACTIONS LBMP ENERGY
100,400,500,101,102,511,512,513,514,515,516,517,518,519,520,528,529,531
Org name,LSE name,Trans Id,Start day,Start hour,DAM LBMP Market MWHr,DAM LBMP Market Energy $,DAM LBMP Market Loss $,DAM LBMP Market Cong $,DAM LBMP Market LBMP $,R/T LBMP Market MWHr,R/T LBMP Market Energy $,R/T LBMP Market Loss $,R/T LBMP Market Cong $,R/T LBMP Market LBMP $,DAM Bid Cost Guarantee,R/T Bid Cost Guarantee,Hrly Fin Impact Charge $
Tidal Energy Marketing Inc.,,13444818,MAR/20/2018,0,-50,-1103,43,-36,-1096,0,0,0,0,0,-257,0,0
Tidal Energy Marketing Inc.,,13444818,MAR/20/2018,1,-50,-1029.5,39,-34.5,-1025,0,0,0,0,0,-191,0,0
Tidal Energy Marketing Inc.,,13444818,MAR/20/2018,2,-50,-1065,38.5,-18,-1044.5,0,0,0,0,0,-236.5,0,0
Tidal Energy Marketing Inc.,,13444818,MAR/20/2018,3,-50,-1079.5,40,-11,-1050.5,0,0,0,0,0,-154,0,0
Tidal Energy Marketing Inc.,,13444818,MAR/20/2018,4,-50,-1143.5,46,-7.5,-1105,0,0,0,0,0,-155,0,0
Tidal Energy Marketing Inc.,,13444818,MAR/20/2018,5,-50,-1296.5,44,10,-1242.5,0,0,0,0,0,-15,0,0
Tidal Energy Marketing Inc.,,13444818,MAR/20/2018,6,-50,-1640,105,1,-1534,0,0,0,0,0,-218.5,0,0
Tidal Energy Marketing Inc.,,13444818,MAR/20/2018,7,-50,-1844.5,86.5,0,-1758,0,0,0,0,0,-400.5,0,0
Tidal Energy Marketing Inc.,,13444818,MAR/20/2018,8,-50,-1832.5,117.5,5,-1710,0,0,0,0,0,-245.5,0,0
Tidal Energy Marketing Inc.,,13444818,MAR/20/2018,9,-50,-1687.5,125,-2,-1564.5,0,0,0,0,0,-14.5,0,0
Tidal Energy Marketing Inc.,,13444818,MAR/20/2018,10,-50,-1590.5,90.5,0,-1500,0,0,0,0,0,-65,0,0
Tidal Energy Marketing Inc.,,13444818,MAR/20/2018,11,-50,-1405,70,0,-1335,0,0,0,0,0,-66.5,0,0
Tidal Energy Marketing Inc.,,13444818,MAR/20/2018,12,-10,-265.4,13.5,0,-251.9,0,0,0,0,0,0,0,0
Tidal Energy Marketing Inc.,,13444818,MAR/20/2018,13,-50,-1240.5,63,0,-1177.5,0,0,0,0,0,-78.5,0,0
Tidal Energy Marketing Inc.,,13444818,MAR/20/2018,14,-50,-1205.5,55.5,0,-1150,0,0,0,0,0,-130,0,0
Tidal Energy Marketing Inc.,,13444818,MAR/20/2018,15,-50,-1194,53.5,0,-1140.5,0,0,0,0,0,-12.5,0,0
ANCILLARY SERVICES
100,400,101,102,600,601,602,603,604,605,606,607,608,609,610,611,612,613,614,615,616,617,618,619,620,621,622,255,623,257,624,259,625,626,627,261,628,629,630,631,632,633,634,635,636,637,638,639,640,641,642,643,644,645,646,647
Org name,LSE name,Start day,Start hour,Hrly Ancillary service Billing MWHr,Hrly Ext Export Transactions MWHr,Hrly Ext Wheel Thru Transactions MWHr,NTAC Rate,NTAC Charge $,Voltage Support Rate,Hrly VSS charge $,S SC&D MST Rate,S SC&D MST Charge $,Hrly Res Chg Ratio Share,Hrly Reserve Chg $,Residual Adjustment $,Hrly Reg Charge $,Black start Charge $, S SC&D OAT Rate,S SC&D OAT Charge $, ,LRR Black Start Charge$,Hrly Reg Rev Adj $,Hrly Sup Event Charge $,Hrly Fin Impact Credit $,Hrly Ext LBMP Export Transactions MWHr,Hrly Ext Import Transactions MWHr,S SC&D MST Inject Rate,S SC&D MST Inject Charge $,S SC&D OAT Inject Rate,S SC&D OAT Inject Charge $,Misc Exp MST Inject Rate,Misc Exp MST MST Charge $,Misc Exp MST WD Rate,Misc Exp MST WD Charge $,Misc Exp OAT Inject Rate,Misc Exp OAT Inject Charge $,Misc Exp OAT WD Rate,Misc Exp OAT WD Charge $,ISONE Schedule,ISONE NTAC Rate,HQ Schedule,HQ NTAC Rate,OH Schedule,OH NTAC Rate,PJM Schedule,PJM NTAC Rate,Ramapo PAR Charge $,Station 80 Charge $,Local Black Start/Rest Charge $,EDRP/SCR Demand Response Charge $ (Local),EDRP/SCR Demand Response Charge $ (NYISO-wide),FERC Fees OAT WD Charge $,FERC Fees OAT Inject Charge $,Fee Exempt Import MWHr,Fee Exempt Export MWHr
Tidal Energy Marketing Inc., ,MAR/20/2018,0,0,0,0,.92,0,.43,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,50,0,0,0,13.3,0,0,0,0,0,0,0,0,0,0,0,.92,0,.92,0,.92,0,0,,,,0,1.13,0,0
Tidal Energy Marketing Inc., ,MAR/20/2018,1,0,0,0,.92,0,.43,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,50,0,0,0,13.3,0,0,0,0,0,0,0,0,0,0,0,.92,0,.92,0,.92,0,0,,,,0,1.15,0,0
Tidal Energy Marketing Inc., ,MAR/20/2018,2,0,0,0,.92,0,.43,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,50,0,0,0,13.3,0,0,0,0,0,0,0,0,0,0,0,.92,0,.92,0,.92,0,0,,,,0,1.21,0,0
Tidal Energy Marketing Inc., ,MAR/20/2018,3,0,0,0,.92,0,.43,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,50,0,0,0,13.3,0,0,0,0,0,0,0,0,0,0,0,.92,0,.92,0,.92,0,0,,,,0,1.21,0,0
Tidal Energy Marketing Inc., ,MAR/20/2018,4,0,0,0,.92,0,.43,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,50,0,0,0,13.3,0,0,0,0,0,0,0,0,0,0,0,.92,0,.92,0,.92,0,0,,,,0,1.19,0,0
Tidal Energy Marketing Inc., ,MAR/20/2018,5,0,0,0,.92,0,.43,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,50,0,0,0,13.3,0,0,0,0,0,0,0,0,0,0,0,.92,0,.92,0,.92,0,0,,,,0,1.13,0,0
Tidal Energy Marketing Inc., ,MAR/20/2018,6,0,0,0,.92,0,.43,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,50,0,0,0,13.3,0,0,0,0,0,0,0,0,0,0,0,.92,0,.92,0,.92,0,0,,,,0,1.02,0,0
Tidal Energy Marketing Inc., ,MAR/20/2018,7,0,0,0,.92,0,.43,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,50,0,0,0,13.3,0,0,0,0,0,0,0,0,0,0,0,.92,0,.92,0,.92,0,0,,,,0,.96,0,0
Tidal Energy Marketing Inc., ,MAR/20/2018,8,0,0,0,.92,0,.43,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,50,0,0,0,13.3,0,0,0,0,0,0,0,0,0,0,0,.92,0,.92,0,.92,0,0,,,,0,.95,0,0
Tidal Energy Marketing Inc., ,MAR/20/2018,9,0,0,0,.92,0,.43,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,50,0,0,0,13.3,0,0,0,0,0,0,0,0,0,0,0,.92,0,.92,0,.92,0,0,,,,0,.96,0,0
Tidal Energy Marketing Inc., ,MAR/20/2018,10,0,0,0,.92,0,.43,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,50,0,0,0,13.3,0,0,0,0,0,0,0,0,0,0,0,.92,0,.92,0,.92,0,0,,,,0,.96,0,0
Tidal Energy Marketing Inc., ,MAR/20/2018,11,0,0,0,.92,0,.43,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,50,0,0,0,13.3,0,0,0,0,0,0,0,0,0,0,0,.92,0,.92,0,.92,0,0,,,,0,.96,0,0
Tidal Energy Marketing Inc., ,MAR/20/2018,12,0,0,0,.92,0,.43,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,10,0,0,0,2.66,0,0,0,0,0,0,0,0,0,0,0,.92,0,.92,0,.92,0,0,,,,0,.19,0,0
Tidal Energy Marketing Inc., ,MAR/20/2018,13,0,0,0,.92,0,.43,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,50,0,0,0,13.3,0,0,0,0,0,0,0,0,0,0,0,.92,0,.92,0,.92,0,0,,,,0,.97,0,0
Tidal Energy Marketing Inc., ,MAR/20/2018,14,0,0,0,.92,0,.43,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,50,0,0,0,13.3,0,0,0,0,0,0,0,0,0,0,0,.92,0,.92,0,.92,0,0,,,,0,.97,0,0
Tidal Energy Marketing Inc., ,MAR/20/2018,15,0,0,0,.92,0,.43,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,50,0,0,0,13.3,0,0,0,0,0,0,0,0,0,0,0,.92,0,.92,0,.92,0,0,,,,0,.97,0,0
Tidal Energy Marketing Inc., ,MAR/20/2018,16,0,0,0,.92,0,.43,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.92,0,.92,0,.92,0,0,,,,0,0,0,0
