Day-Ahead Daily Energy Transactions
Customer Account:,Tidal Energy Marketing Inc.,Report Creation Timestamp (EPT):,03/26/2018 11:59:42 AM
Start Date:,02/01/2018,End Date:,02/28/2018
4000.01,4000.02,4000.04,4000.11,4000.09,4000.71,4000.14,3005.01,3005.02,3005.25,3005.03,3005.04,3005.05,3005.06,3005.07,3005.08,3005.09,3005.10,3005.11,3005.12,3005.13,3005.14,3005.15,3005.16,3005.17,3005.18,3005.19,3005.20,3005.21,3005.22,3005.23,3005.24,3005.26,4000.23,4000.24,4000.21,4000.22,4000.18,4000.17,4000.07
Customer ID,Customer Code,Date,Transaction Type,Transaction ID,Up to Congestion,OASIS ID,EPT HE 01,EPT HE 02,EPT HE02X,EPT HE 03,EPT HE 04,EPT HE 05,EPT HE 06,EPT HE 07,EPT HE 08,EPT HE 09,EPT HE 10,EPT HE 11,EPT HE 12,EPT HE 13,EPT HE 14,EPT HE 15,EPT HE 16,EPT HE 17,EPT HE 18,EPT HE 19,EPT HE 20,EPT HE 21,EPT HE 22,EPT HE 23,EPT HE 24,Total MWh,Source PNODE Name,Source PNODE ID,Sink PNODE Name,Sink PNODE ID,Seller,Buyer,Version
38738,TIDALE,02/01/2018,Import,T3619640,,SPOT,-10.000,-10.000,.000,-10.000,-10.000,-10.000,-10.000,-10.000,.000,.000,-10.000,-10.000,-10.000,-10.000,-10.000,-10.000,-10.000,-10.000,-10.000,-10.000,-10.000,-10.000,-10.000,-10.000,-10.000,-220.000,IMO,31252687,IMO,31252687,MECSCA,TIDALE,20180201.000
38738,TIDALE,02/01/2018,Total DA Net Interchange,,,,-10.000,-10.000,.000,-10.000,-10.000,-10.000,-10.000,-10.000,.000,.000,-10.000,-10.000,-10.000,-10.000,-10.000,-10.000,-10.000,-10.000,-10.000,-10.000,-10.000,-10.000,-10.000,-10.000,-10.000,-220.000,,,,,,,20180201.000
38738,TIDALE,02/02/2018,Import,T3619895,,SPOT,.000,.000,.000,.000,.000,.000,-35.000,-35.000,-35.000,-35.000,-35.000,-35.000,-35.000,-35.000,-35.000,-35.000,-35.000,-35.000,-35.000,-35.000,-35.000,-35.000,-35.000,-35.000,-35.000,-665.000,IMO,31252687,IMO,31252687,MECSCA,TIDALE,20180201.000
38738,TIDALE,02/02/2018,Total DA Net Interchange,,,,.000,.000,.000,.000,.000,.000,-35.000,-35.000,-35.000,-35.000,-35.000,-35.000,-35.000,-35.000,-35.000,-35.000,-35.000,-35.000,-35.000,-35.000,-35.000,-35.000,-35.000,-35.000,-35.000,-665.000,,,,,,,20180201.000
38738,TIDALE,02/03/2018,Import,T3620074,,SPOT,-35.000,-35.000,.000,-35.000,-35.000,-35.000,-35.000,-35.000,-35.000,-35.000,-35.000,.000,.000,-35.000,-35.000,-35.000,-35.000,-35.000,.000,.000,.000,-35.000,-35.000,-35.000,-35.000,-665.000,IMO,31252687,IMO,31252687,MECSCA,TIDALE,20180201.000
38738,TIDALE,02/03/2018,Total DA Net Interchange,,,,-35.000,-35.000,.000,-35.000,-35.000,-35.000,-35.000,-35.000,-35.000,-35.000,-35.000,.000,.000,-35.000,-35.000,-35.000,-35.000,-35.000,.000,.000,.000,-35.000,-35.000,-35.000,-35.000,-665.000,,,,,,,20180201.000
38738,TIDALE,02/04/2018,Import,T3620420,,SPOT,-25.000,-25.000,.000,-25.000,-25.000,-25.000,-25.000,-25.000,-25.000,-25.000,-25.000,.000,.000,-25.000,-25.000,-25.000,-25.000,-25.000,-25.000,.000,.000,-25.000,-25.000,-25.000,-25.000,-500.000,IMO,31252687,IMO,31252687,MECSCA,TIDALE,20180201.000
38738,TIDALE,02/04/2018,Total DA Net Interchange,,,,-25.000,-25.000,.000,-25.000,-25.000,-25.000,-25.000,-25.000,-25.000,-25.000,-25.000,.000,.000,-25.000,-25.000,-25.000,-25.000,-25.000,-25.000,.000,.000,-25.000,-25.000,-25.000,-25.000,-500.000,,,,,,,20180201.000
38738,TIDALE,02/05/2018,Import,T3620634,,SPOT,-35.000,-35.000,.000,-35.000,-35.000,-35.000,-35.000,-35.000,-35.000,-35.000,-35.000,-35.000,-35.000,-35.000,-35.000,-35.000,-35.000,-35.000,-35.000,.000,.000,-35.000,-35.000,-35.000,-35.000,-770.000,IMO,31252687,IMO,31252687,MECSCA,TIDALE,20180201.000
