Hourly Load Data
Customer Account:,Tidal Energy Marketing Inc.,Report Creation Timestamp (EPT):,03/26/2018 11:59:35 AM
Start Date:,02/01/2018,End Date:,02/28/2018
EDC Account,EDC Account,AE,AE,VMEU,VMEU,AEPAPT,AEPAPT,AEPIMP,AEPIMP,AEPKPT,AEPKPT,AEPOPT,AEPOPT,AETSAP,AETSAP,BC,BC,COMED,COMED,DAYEDC,DAYEDC,DOMEDC,DOMEDC,DPL,DPL,EASTON,EASTON,DLCO,DLCO,JCBGS,JCBGS,MetEd,MetEd,PE,PE,PaElec,PaElec,PEPCO,PEPCO,SMECO,SMECO,PPL,PPL,UGI-UI,UGI-UI,PSEG,PSEG,RECO,RECO,OEEDC,OEEDC,PAPWR,PAPWR,DEOEDC,DEOEDC,EKPC,EKPC
Zone,Zone,AECO,AECO,AECO,AECO,AEP,AEP,AEP,AEP,AEP,AEP,AEP,AEP,APS,APS,BGE,BGE,COMED,COMED,DAY,DAY,DOM,DOM,DPL,DPL,DPL,DPL,DUQ,DUQ,JCPL,JCPL,METED,METED,PECO,PECO,PENELEC,PENELEC,PEPCO,PEPCO,PEPCO,PEPCO,PPL,PPL,PPL,PPL,PSEG,PSEG,RECO,RECO,ATSI,ATSI,ATSI,ATSI,DEOK,DEOK,EKPC,EKPC
NERC Region,NERC Region,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,SERC,SERC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,SERC,SERC
EPT Hour Ending,GMT Hour Ending,Load with Losses  (MWh),Load without Losses  (MWh),Load with Losses  (MWh),Load without Losses  (MWh),Load with Losses  (MWh),Load without Losses  (MWh),Load with Losses  (MWh),Load without Losses  (MWh),Load with Losses  (MWh),Load without Losses  (MWh),Load with Losses  (MWh),Load without Losses  (MWh),Load with Losses  (MWh),Load without Losses  (MWh),Load with Losses  (MWh),Load without Losses  (MWh),Load with Losses  (MWh),Load without Losses  (MWh),Load with Losses  (MWh),Load without Losses  (MWh),Load with Losses  (MWh),Load without Losses  (MWh),Load with Losses  (MWh),Load without Losses  (MWh),Load with Losses  (MWh),Load without Losses  (MWh),Load with Losses  (MWh),Load without Losses  (MWh),Load with Losses  (MWh),Load without Losses  (MWh),Load with Losses  (MWh),Load without Losses  (MWh),Load with Losses  (MWh),Load without Losses  (MWh),Load with Losses  (MWh),Load without Losses  (MWh),Load with Losses  (MWh),Load without Losses  (MWh),Load with Losses  (MWh),Load without Losses  (MWh),Load with Losses  (MWh),Load without Losses  (MWh),Load with Losses  (MWh),Load without Losses  (MWh),Load with Losses  (MWh),Load without Losses  (MWh),Load with Losses  (MWh),Load without Losses  (MWh),Load with Losses  (MWh),Load without Losses  (MWh),Load with Losses  (MWh),Load without Losses  (MWh),Load with Losses  (MWh),Load without Losses  (MWh),Load with Losses  (MWh),Load without Losses  (MWh)
02/01/2018 01,02/01/2018 06,1006.962000000,984.831000000,70.493000000,68.877000000,5166.690000000,4983.390000000,3017.577000000,2905.777000000,786.078000000,764.178000000,5967.900000000,5734.500000000,5900.288000000,5730.188000000,3587.464000000,3517.913000000,10355.088000000,9960.288000000,1900.000000000,1831.800000000,12040.012000000,11828.612000000,2294.581000000,2209.067000000,34.046000000,32.800000000,1357.414000000,1343.214000000,2342.234000000,2296.635000000,1859.602000000,1801.707000000,4493.184000000,4407.530000000,2064.047000000,1962.375000000,2805.445000000,2755.540000000,441.424000000,433.839000000,4918.681000000,4771.204000000,135.303000000,129.028000000,4652.416000000,4568.245000000,136.837000000,134.947000000,6714.418000000,6592.718000000,548.564000000,539.264000000,2723.574000000,2684.174000000,1495.556000000,1456.056000000
02/01/2018 02,02/01/2018 07,972.416000000,952.881000000,68.575000000,67.101000000,5103.744000000,4926.544000000,2960.706000000,2857.306000000,779.968000000,759.168000000,5834.028000000,5616.328000000,5775.620000000,5610.920000000,3474.926000000,3413.355000000,9977.948000000,9588.948000000,1851.000000000,1788.300000000,11876.251000000,11671.551000000,2243.245000000,2164.978000000,32.673000000,31.500000000,1334.124000000,1320.024000000,2285.398000000,2244.578000000,1796.590000000,1745.560000000,4349.888000000,4275.997000000,2001.908000000,1904.660000000,2733.148000000,2690.082000000,427.854000000,421.275000000,4825.247000000,4697.579000000,130.480000000,124.688000000,4507.196000000,4432.789000000,131.695000000,130.193000000,6531.378000000,6416.178000000,536.544000000,527.344000000,2643.003000000,2606.403000000,1495.417000000,1457.817000000
02/01/2018 03,02/01/2018 08,960.648000000,939.739000000,68.924000000,67.420000000,5127.928000000,4956.528000000,2941.466000000,2845.766000000,776.950000000,757.250000000,5747.101000000,5544.001000000,5731.838000000,5578.138000000,3424.421000000,3356.654000000,9803.374000000,9410.274000000,1827.000000000,1766.600000000,11818.799000000,11623.399000000,2227.440000000,2146.295000000,32.734000000,31.600000000,1309.001000000,1295.301000000,2261.680000000,2217.386000000,1786.738000000,1733.293000000,4281.875000000,4202.052000000,2003.356000000,1906.799000000,2659.531000000,2612.174000000,426.320000000,418.967000000,4767.627000000,4637.044000000,129.726000000,123.801000000,4430.331000000,4348.592000000,129.794000000,128.069000000,6488.798000000,6375.598000000,529.737000000,520.937000000,2581.359000000,2546.259000000,1452.860000000,1416.360000000
02/01/2018 04,02/01/2018 09,953.586000000,933.036000000,69.131000000,67.639000000,5151.450000000,4979.550000000,2983.860000000,2885.960000000,770.737000000,751.037000000,5726.819000000,5526.019000000,5704.151000000,5549.851000000,3424.559000000,3355.963000000,9685.900000000,9284.800000000,1822.000000000,1762.800000000,11880.373000000,11682.073000000,2221.464000000,2140.917000000,32.728000000,31.600000000,1309.144000000,1295.344000000,2255.814000000,2212.223000000,1782.046000000,1728.899000000,4332.664000000,4253.074000000,1987.249000000,1891.247000000,2687.221000000,2639.409000000,430.749000000,423.235000000,4776.431000000,4646.097000000,129.469000000,123.572000000,4416.631000000,4336.200000000,129.642000000,127.944000000,6466.832000000,6354.232000000,519.540000000,510.740000000,2594.818000000,2559.618000000,1477.751000000,1441.151000000
02/01/2018 05,02/01/2018 10,966.328000000,946.055000000,70.800000000,69.228000000,5193.719000000,5024.619000000,3095.701000000,2998.501000000,773.438000000,754.338000000,5832.824000000,5634.424000000,5785.612000000,5633.212000000,3516.587000000,3446.905000000,9720.422000000,9323.922000000,1862.000000000,1800.500000000,12202.398000000,11994.098000000,2270.035000000,2188.286000000,33.417000000,32.200000000,1330.979000000,1317.479000000,2319.290000000,2279.174000000,1829.143000000,1776.479000000,4430.959000000,4352.897000000,2018.933000000,1925.768000000,2761.105000000,2712.994000000,449.766000000,442.196000000,4867.157000000,4740.754000000,131.504000000,125.656000000,4485.000000000,4408.025000000,132.419000000,130.762000000,6560.189000000,6444.889000000,535.907000000,526.707000000,2651.335000000,2615.035000000,1481.069000000,1444.269000000
02/01/2018 06,02/01/2018 11,1017.947000000,998.182000000,75.855000000,74.361000000,5386.809000000,5225.009000000,3248.163000000,3152.563000000,778.034000000,760.234000000,6150.772000000,5959.372000000,6143.040000000,5984.640000000,3793.057000000,3720.678000000,10014.148000000,9630.548000000,1960.000000000,1897.800000000,12919.646000000,12686.646000000,2395.234000000,2314.793000000,34.974000000,33.800000000,1394.066000000,1380.366000000,2466.467000000,2428.868000000,1956.652000000,1905.942000000,4753.007000000,4677.717000000,2148.191000000,2055.883000000,3018.264000000,2970.048000000,484.573000000,476.981000000,5176.708000000,5058.403000000,140.568000000,134.468000000,4714.466000000,4645.378000000,141.592000000,140.084000000,6917.892000000,6784.392000000,550.289000000,539.889000000,2807.254000000,2769.354000000,1631.340000000,1593.040000000
02/01/2018 07,02/01/2018 12,1115.187000000,1091.402000000,83.475000000,81.675000000,5743.697000000,5557.097000000,3501.682000000,3391.482000000,834.814000000,813.914000000,6691.866000000,6468.366000000,6583.167000000,6392.967000000,4192.906000000,4101.934000000,10771.654000000,10359.554000000,2155.000000000,2082.000000000,14033.124000000,13735.524000000,2610.330000000,2515.420000000,38.570000000,37.200000000,1508.244000000,1493.644000000,2745.804000000,2697.896000000,2144.907000000,2083.257000000,5182.849000000,5088.492000000,2348.620000000,2248.518000000,3343.840000000,3279.903000000,522.413000000,512.708000000,5692.456000000,5554.716000000,155.458000000,148.569000000,5156.721000000,5072.214000000,157.959000000,155.946000000,7571.421000000,7409.421000000,611.679000000,598.679000000,3083.420000000,3038.720000000,1744.416000000,1699.516000000
