LSE InSchedule and NSPL Activity Summary
Customer Account:,Tidal Energy Marketing Inc.,Report Creation Timestamp (EPT):,03/26/2018 11:59:37 AM
Start Month:,"February, 2018",End Month:,"February, 2018"
4000.01,4000.02,4000.03,3002.01,3002.02,4000.07
Customer ID,Customer Code,Month,InSchedule Load In Multiple Zones (Y/N),NSPL In Multiple Zones (Y/N),Version
29569,ACENJN,"February, 2018",N,,20180201.000
20619,ADAGIO,"February, 2018",Y,Y,20180201.000
100,AECI,"February, 2018",Y,Y,20180201.000
290,AEMN,"February, 2018",N,N,20180201.000
26395,AEMR,"February, 2018",N,N,20180201.000
12406,AEPAPD,"February, 2018",N,N,20180201.000
32455,AEPAPT,"February, 2018",N,,20180201.000
33875,AEPDAY,"February, 2018",N,N,20180201.000
33222,AEPDO2,"February, 2018",N,N,20180201.000
24154,AEPDPR,"February, 2018",N,N,20180201.000
33223,AEPDR2,"February, 2018",N,,20180201.000
41206,AEPDSC,"February, 2018",N,,20180201.000
41386,AEPDY2,"February, 2018",N,N,20180201.000
12405,AEPIMD,"February, 2018",N,N,20180201.000
32456,AEPIMP,"February, 2018",N,,20180201.000
17528,AEPKPD,"February, 2018",N,N,20180201.000
32457,AEPKPT,"February, 2018",N,,20180201.000
33202,AEPOH1,"February, 2018",N,N,20180201.000
32458,AEPOPT,"February, 2018",N,,20180201.000
24745,AEPTSF,"February, 2018",N,,20180201.000
24742,AEPTSI,"February, 2018",,N,20180201.000
24743,AEPTSO,"February, 2018",,N,20180201.000
24744,AEPTST,"February, 2018",,N,20180201.000
31981,AEPWPD,"February, 2018",N,N,20180201.000
4622,AETSAP,"February, 2018",N,,20180201.000
33969,AGEAE,"February, 2018",N,N,20180201.000
34051,AGEAEP,"February, 2018",N,N,20180201.000
33221,AGEAOH,"February, 2018",N,N,20180201.000
33756,AGECED,"February, 2018",N,N,20180201.000
32468,AGECI,"February, 2018",,N,20180201.000
32466,AGEDAY,"February, 2018",N,N,20180201.000
30035,AGEDEO,"February, 2018",N,N,20180201.000
33970,AGEDMD,"February, 2018",N,N,20180201.000
33757,AGEDPL,"February, 2018",N,N,20180201.000
33758,AGEDUQ,"February, 2018",N,N,20180201.000
33754,AGEFOH,"February, 2018",N,,20180201.000
32469,AGEOE,"February, 2018",N,N,20180201.000
33972,AGEPDC,"February, 2018",N,N,20180201.000
32663,AGEPE,"February, 2018",N,N,20180201.000
33761,AGEPED,"February, 2018",N,N,20180201.000
33971,AGEPMD,"February, 2018",N,N,20180201.000
33755,AGERBG,"February, 2018",N,N,20180201.000
32334,AGERCE,"February, 2018",,N,20180201.000
32333,AGERDA,"February, 2018",N,N,20180201.000
32337,AGERDO,"February, 2018",N,N,20180201.000
33759,AGERJC,"February, 2018",N,N,20180201.000
32718,AGERME,"February, 2018",N,N,20180201.000
32335,AGEROE,"February, 2018",,N,20180201.000
33760,AGERPE,"February, 2018",N,N,20180201.000
33918,AGERPL,"February, 2018",N,N,20180201.000
32717,AGERPN,"February, 2018",N,N,20180201.000
32656,AGERPP,"February, 2018",N,N,20180201.000
33762,AGERPS,"February, 2018",N,N,20180201.000
33763,AGERRE,"February, 2018",N,N,20180201.000
32336,AGERTE,"February, 2018",,N,20180201.000
32657,AGERWP,"February, 2018",N,N,20180201.000
32467,AGETE,"February, 2018",,N,20180201.000
33764,AGEUGI,"February, 2018",N,N,20180201.000
32982,AGRSV,"February, 2018",Y,Y,20180201.000
37427,AGWDQE,"February, 2018",N,N,20180201.000
33774,AGWMET,"February, 2018",N,N,20180201.000
37428,AGWPCO,"February, 2018",N,N,20180201.000
33775,AGWPEN,"February, 2018",N,N,20180201.000
33776,AGWPNP,"February, 2018",N,N,20180201.000
37429,AGWPPL,"February, 2018",N,N,20180201.000
33777,AGWWPP,"February, 2018",N,N,20180201.000
11046,AKSTL,"February, 2018",N,N,20180201.000
32340,ALPAME,"February, 2018",N,N,20180201.000
32343,ALPAPN,"February, 2018",N,N,20180201.000
32341,ALPAPP,"February, 2018",N,N,20180201.000
32342,ALPAWP,"February, 2018",N,N,20180201.000
43892,AMDDUK,"February, 2018",N,N,20180201.000
38647,AMDFCE,"February, 2018",,N,20180201.000
38645,AMDFOE,"February, 2018",N,N,20180201.000
38646,AMDFTE,"February, 2018",,N,20180201.000
24433,AMGRME,"February, 2018",N,N,20180201.000
21998,AMGRPE,"February, 2018",N,N,20180201.000
21999,AMGRPL,"February, 2018",N,N,20180201.000
12047,AMPAEP,"February, 2018",N,N,20180201.000
22660,AMPBWH,"February, 2018",N,N,20180201.000
12058,AMPDAN,"February, 2018",N,N,20180201.000
10890,AMPDAY,"February, 2018",N,N,20180201.000
12518,AMPEPH,"February, 2018",N,N,20180201.000
16998,AMPFE,"February, 2018",N,N,20180201.000
33966,AMPGEO,"February, 2018",N,N,20180201.000
11084,AMPGPU,"February, 2018",N,N,20180201.000
21259,AMPHAM,"February, 2018",N,N,20180201.000
21260,AMPLEB,"February, 2018",N,N,20180201.000
