Month-to-Date Billing Summary - CSV and XML
Customer Account:,"Tidal Energy Marketing Inc.",Report Creation Timestamp (EPT):,03/26/2018 11:59:48 AM
Billing Period Start:,02/01/2018,Billing Period End:,02/28/2018
CHARGES,ADJ,BILLING LINE ITEM NAME,SOURCE BILLING PERIOD START,BILLING PERIOD-TO-DATE AMOUNT ($),02/01/2018,02/02/2018,02/03/2018,02/04/2018,02/05/2018,02/06/2018,02/07/2018,02/08/2018,02/09/2018,02/10/2018,02/11/2018,02/12/2018,02/13/2018,02/14/2018,02/15/2018,02/16/2018,02/17/2018,02/18/2018,02/19/2018,02/20/2018,02/21/2018,02/22/2018,02/23/2018,02/24/2018,02/25/2018,02/26/2018,02/27/2018,02/28/2018, , , 
1100,,Network Integration Transmission Service,,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00, , , 
1130,,Firm Point-to-Point Transmission Service*,,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00, , , 
1140,,Non-Firm Point-to-Point Transmission Service,,160.80,.00,.00,.00,160.80,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00, , , 
1200,,Day-ahead Spot Market Energy,,-160813.20,-6871.70,-37487.10,-25436.95,-12905.75,-24927.70,-14732.70,.00,-39248.50,-4223.20,.00,.00,.00,1681.40,.00,.00,596.80,.00,.00,.00,.00,1775.30,966.90,.00,.00,.00,.00,.00,.00, , , 
1205,,Balancing Spot Market Energy,,-118266.40,-567.80,-38750.25,-26650.40,-8778.65,-26334.70,.00,.00,-14049.00,-3135.60,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00, , , 
1210,,Day-ahead Transmission Congestion,,16051.99,297.51,5535.62,6049.81,423.40,1799.94,576.81,.00,1573.81,67.33,.00,.00,.00,-67.29,.00,.00,-4.48,.00,.00,.00,.00,24.17,-224.64,.00,.00,.00,.00,.00,.00, , , 
1215,,Balancing Transmission Congestion,,4718.40,191.60,810.95,1642.55,384.20,1362.90,.00,.00,358.00,-31.80,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00, , , 
1220,,Day-ahead Transmission Losses,,2069.06,65.76,471.36,339.11,264.84,410.90,195.33,.00,396.37,13.95,.00,.00,.00,-34.73,.00,.00,-2.83,.00,.00,.00,.00,-50.51,-.49,.00,.00,.00,.00,.00,.00, , , 
1225,,Balancing Transmission Losses,,560.30,4.20,-103.95,399.00,40.80,225.75,.00,.00,79.40,-84.90,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00, , , 
1243,,Real-Time Load Response Charge Allocation,,.07,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00, , , 
1301,,"PJM Scheduling, System Control and Dispatch Service - Control Area Administration",,48.30,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,14.70,.00,.00,6.30,.00,.00,.00,.00,16.80,10.50,.00,.00,.00,.00,.00,.00, , , 
1302,,"PJM Scheduling, System Control and Dispatch Service - FTR Administration",,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00, , , 
1303,,"PJM Scheduling, System Control and Dispatch Service - Market Support",,401.85,11.18,77.85,69.75,38.96,77.85,23.68,.00,77.85,13.10,.00,.00,.00,3.59,.00,.00,1.60,.00,.00,.00,.00,3.91,2.53,.00,.00,.00,.00,.00,.00, , , 
1304,,"PJM Scheduling, System Control and Dispatch Service - Regulation Market Administration",,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00, , , 
1305,,"PJM Scheduling, System Control and Dispatch Service - Capacity Resource/Obligation Mgmt.",,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00, , , 
1307,,"PJM Scheduling, System Control and Dispatch Service - Market Support Offset",,-32.02,-.89,-6.22,-5.57,-3.11,-6.22,-1.89,.00,-6.22,-1.04,.00,.00,.00,-.26,.00,.00,-.11,.00,.00,.00,.00,-.30,-.19,.00,.00,.00,.00,.00,.00, , , 
1313,,"PJM Settlement, Inc.",,32.02,.89,6.22,5.57,3.11,6.22,1.89,.00,6.22,1.04,.00,.00,.00,.26,.00,.00,.11,.00,.00,.00,.00,.30,.19,.00,.00,.00,.00,.00,.00, , , 
1314,,Market Monitoring Unit (MMU) Funding,,49.38,1.37,9.58,8.58,4.79,9.58,2.91,.00,9.58,1.61,.00,.00,.00,.42,.00,.00,.19,.00,.00,.00,.00,.47,.30,.00,.00,.00,.00,.00,.00, , , 
1315,,FERC Annual  Recovery,,17.61,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,5.36,.00,.00,2.30,.00,.00,.00,.00,6.12,3.83,.00,.00,.00,.00,.00,.00, , , 
1316,,"Organization of PJM States, Inc. (OPSI) Funding",,.17,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.05,.00,.00,.02,.00,.00,.00,.00,.06,.04,.00,.00,.00,.00,.00,.00, , , 
1320,,"Transmission Owner Scheduling, System Control and Dispatch Service",,20.98,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,6.38,.00,.00,2.74,.00,.00,.00,.00,7.30,4.56,.00,.00,.00,.00,.00,.00, , , 
1330,,Reactive Supply and Voltage Control from Generation and Other Sources Service^,,119.08,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00, , , 
1340,,Regulation and Frequency Response Service,,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00, , , 
1360,,Synchronized Reserve,,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00, , , 
1365,,Day-ahead Scheduling Reserve,,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00, , , 
1370,,Day-ahead Operating Reserve,,21.02,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,1.93,.00,.00,4.55,.00,.00,.00,.00,8.41,6.13,.00,.00,.00,.00,.00,.00, , , 
1375,,Balancing Operating Reserve,,507.35,.67,330.42,69.00,4.04,49.69,.00,.00,19.50,32.30,.00,.00,.00,.65,.00,.00,.18,.00,.00,.00,.00,.11,.79,.00,.00,.00,.00,.00,.00, , , 
1376,,Balancing Operating Reserve for Load Response,,2.57,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00, , , 
1380,,Black Start Service^,,24.78,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00, , , 
1330,A,Reactive Supply and Voltage Control from Generation and Other Sources Service^,05/01/2017,-.55,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00, , , 
1330,A,Reactive Supply and Voltage Control from Generation and Other Sources Service^,06/01/2017,-2.05,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00, , , 
1330,A,Reactive Supply and Voltage Control from Generation and Other Sources Service^,07/01/2017,-1.86,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00, , , 
1330,A,Reactive Supply and Voltage Control from Generation and Other Sources Service^,08/01/2017,-69.40,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00, , , 
