Monthly Billing Statement Recipients
Customer Account:,"Tidal Energy Marketing Inc.",Report Creation Timestamp (EPT):,03/26/2018 11:59:39 AM
Billing Period Start:,02/01/2018, Billing Period End:,02/28/2018
4000.03,4000.08,4000.02,4000.01
Billing Period Start Date,Customer Account Name,Customer Code,Customer ID
02/01/2018,"AC Energy, LLC",ACENGY,18279
02/01/2018,"AEP Appalachian Transmission Company, Inc.",AEPATC,16733
02/01/2018,"AEP Energy Partners, Inc.",AEPPRT,17863
02/01/2018,"AEP Energy Partners, Inc. (AEP Gen Resources)",AEPGR,30395
02/01/2018,"AEP Energy Partners, Inc. (AEPOhio Auction 1)",EPOH01,31228
02/01/2018,"AEP Energy Partners, Inc. (ATSI SSO CE Illuminating)",AEPTSI,24742
02/01/2018,"AEP Energy Partners, Inc. (ATSI SSO OH Edison)",AEPTSO,24743
02/01/2018,"AEP Energy Partners, Inc. (ATSI SSO OH POLR)",AEPTSF,24745
02/01/2018,"AEP Energy Partners, Inc. (ATSI SSO Toledo Edison)",AEPTST,24744
02/01/2018,"AEP Energy Partners, Inc. (BLU - Ohio Edison)",BLUOE,17351
02/01/2018,"AEP Energy Partners, Inc. (BLU AE)",BLUAE,17162
02/01/2018,"AEP Energy Partners, Inc. (BLU Allegheny Maryland)",BLUAMD,17165
02/01/2018,"AEP Energy Partners, Inc. (BLU Allegheny PA)",BLUAPA,17166
02/01/2018,"AEP Energy Partners, Inc. (BLU American Electric)",BLUAEP,17358
02/01/2018,"AEP Energy Partners, Inc. (BLU BGE)",BLUBGE,12128
02/01/2018,"AEP Energy Partners, Inc. (BLU CEI)",BLUCEI,17347
02/01/2018,"AEP Energy Partners, Inc. (BLU DPL MD)",BLUDMD,17150
02/01/2018,"AEP Energy Partners, Inc. (BLU DPL-Trans Opt Out)",BLUDPT,44484
02/01/2018,"AEP Energy Partners, Inc. (BLU Dayton)",BLUDAY,17349
02/01/2018,"AEP Energy Partners, Inc. (BLU Duke OH)",BLUDUK,17350
02/01/2018,"AEP Energy Partners, Inc. (BLU Duquesne)",BLUDUQ,16993
02/01/2018,"AEP Energy Partners, Inc. (BLU JCPL)",BLUJC,17167
02/01/2018,"AEP Energy Partners, Inc. (BLU MetEd)",BLUMED,17352
02/01/2018,"AEP Energy Partners, Inc. (BLU PA Electric)",BLUPAE,17354
02/01/2018,"AEP Energy Partners, Inc. (BLU PECO)",BLUPE,17168
02/01/2018,"AEP Energy Partners, Inc. (BLU PEPCO DC)",BLUDC,12194
02/01/2018,"AEP Energy Partners, Inc. (BLU PEPCO)",BLUPEP,11789
02/01/2018,"AEP Energy Partners, Inc. (BLU PPL)",BLUPPL,16752
02/01/2018,"AEP Energy Partners, Inc. (BLU PSEG)",BLUPS,17169
02/01/2018,"AEP Energy Partners, Inc. (BLU Toledo Edison)",BLUTE,17356
02/01/2018,"AEP Energy Partners, Inc. (BlueStar)",BLUSTR,10691
02/01/2018,"AEP Energy Partners, Inc. (Buckeye)",AEPBCK,11485
02/01/2018,"AEP Energy Partners, Inc. (City of Columbus)",EPPCOL,36795
02/01/2018,"AEP Energy Partners, Inc. (City of Westerville)",EPPCOW,38644
02/01/2018,"AEP Energy Partners, Inc. (DAY SSO Ohio)",EPPDPL,32289
02/01/2018,"AEP Energy Partners, Inc. (DPL Type2 SOS)",EPPDM2,35912
02/01/2018,"AEP Energy Partners, Inc. (DUKE POLR_No PIPP)",EPPDPR,41670
02/01/2018,"AEP Energy Partners, Inc. (Demand Response)",BLUDR,17170
02/01/2018,"AEP Energy Partners, Inc. (Duke POLR)",AEPDPR,24154
02/01/2018,"AEP Energy Partners, Inc. (FE General_NMB)",AREFEN,35830
02/01/2018,"AEP Energy Partners, Inc. (FE PA MetEd C)",EPPMEC,32262
02/01/2018,"AEP Energy Partners, Inc. (FE PA Penelec C)",EPPPEC,33147
02/01/2018,"AEP Energy Partners, Inc. (FE PA Penelec R)",EPPPER,32421
02/01/2018,"AEP Energy Partners, Inc. (FE PA PennPower C)",EPPPPC,32263
02/01/2018,"AEP Energy Partners, Inc. (FE PA WPennPower C)",EPPWPC,32264
02/01/2018,"AEP Energy Partners, Inc. (MetEd PA DS RC Full)",EPPMEP,31059
02/01/2018,"AEP Energy Partners, Inc. (OSU)",EPPOSU,26783
02/01/2018,"AEP Energy Partners, Inc. (Ohio Edison_NMB)",AREOEN,35831
02/01/2018,"AEP Energy Partners, Inc. (Ohio Power)",AEPPPA,34463
02/01/2018,"AEP Energy Partners, Inc. (PE PA Med C Full)",EPPDSM,32132
02/01/2018,"AEP Energy Partners, Inc. (PE PA POLR Small Commercial)",EPPDSS,27074
02/01/2018,"AEP Energy Partners, Inc. (PECO  Monroe Energy)",BLUME1,44747
02/01/2018,"AEP Energy Partners, Inc. (PEPCO DC Large)",EPPPDL,33148
02/01/2018,"AEP Energy Partners, Inc. (Pitcairn)",EPPPIT,41453
02/01/2018,"AEP Energy Partners, Inc. (PotEd Type2 SOS)",EPPAM2,26342
02/01/2018,"AEP Energy Partners, Inc. (Shelby OH)",EPSHOH,32513
02/01/2018,"AEP Energy Partners, Inc. (St. Clairsville OH)",EPSCOH,26708
