Operating Reserve for Load Response Charge Allocation
Customer Account:,Tidal Energy Marketing Inc.,Report Creation Timestamp (EPT):,03/26/2018 11:59:43 AM
Start Month:,"February, 2018",End Month:,"February, 2018"
4000.01,4000.02,4000.03,4000.04,1371.11,3000.37,1371.12,3001.37,1371.01,1376.11,1376.19,3001.38,3001.39,1376.01,4000.07
Customer ID,Customer Code,Billing Month,Date,Total PJM DA Operating Reserve for Load Response Credit ($),DA Load (MWh),DA Operating Reserve Exports (MWh),Total PJM DA Load plus Exports (MWh),DA Operating Reserve for Load Response Charge ($),Total PJM Bal Operating Reserve for Load Response Credit ($),Total PJM Resource Deviation Charge ($),Bal Operating Reserves Deviations,Total PJM Balancing Operating Reserves Deviations,Bal Operating Reserve for Load Response Charge ($),Version
38738,TIDALE,"February, 2018",12/12/2017,.00,.000,.000,2484515.300,.00,.00,-27.34,240.000,459406.455,-.01,20180201.000
38738,TIDALE,"February, 2018",12/13/2017,.00,.000,.000,2632367.400,.00,.00,-52.92,240.000,521721.886,-.02,20180201.000
38738,TIDALE,"February, 2018",12/26/2017,.00,.000,.000,2539448.100,.00,7668.43,-13.01,240.000,471016.793,3.90,20180201.000
38738,TIDALE,"February, 2018",12/27/2017,.00,.000,.000,2685689.100,.00,.00,-270.57,240.000,472816.983,-.14,20180201.000
38738,TIDALE,"February, 2018",12/28/2017,.00,.000,.000,2805142.400,.00,.00,-330.93,240.000,531597.707,-.15,20180201.000
38738,TIDALE,"February, 2018",12/29/2017,.00,.000,.000,2711179.900,.00,.00,-17.03,240.000,515437.503,-.01,20180201.000
38738,TIDALE,"February, 2018",12/30/2017,.00,.000,.000,2550168.800,.00,.00,-181.90,240.000,426937.886,-.10,20180201.000
38738,TIDALE,"February, 2018",12/31/2017,.00,.000,.000,2661897.800,.00,.00,-33.36,240.000,511675.370,-.02,20180201.000
38738,TIDALE,"February, 2018",01/01/2018,.00,.000,.000,2783070.600,.00,.00,-222.62,708.000,666668.317,-.24,20180201.000
38738,TIDALE,"February, 2018",01/02/2018,.00,.000,.000,2931148.100,.00,.00,-125.43,720.000,682112.385,-.13,20180201.000
38738,TIDALE,"February, 2018",01/03/2018,.00,.000,.000,2804043.500,.00,.00,-122.42,720.000,608389.693,-.14,20180201.000
38738,TIDALE,"February, 2018",01/05/2018,.00,.000,.000,3023858.000,.00,.00,-13.95,720.000,682750.551,-.01,20180201.000
38738,TIDALE,"February, 2018",01/13/2018,.00,.000,.000,2328888.300,.00,.00,-39.44,990.000,500472.060,-.08,20180201.000
38738,TIDALE,"February, 2018",01/15/2018,.00,.000,.000,2697258.300,.00,.00,-44.91,1270.000,616642.745,-.09,20180201.000
38738,TIDALE,"February, 2018",01/16/2018,.00,.000,.000,2672611.600,.00,.00,-46.63,1218.000,516376.821,-.11,20180201.000
38738,TIDALE,"February, 2018",01/17/2018,.00,.000,.000,2785767.500,.00,.00,-54.88,1225.000,537390.200,-.13,20180201.000
38738,TIDALE,"February, 2018",01/18/2018,.00,.000,.000,2712994.900,.00,.00,-76.80,600.000,600144.980,-.08,20180201.000
38738,TIDALE,"February, 2018",01/19/2018,.00,.000,.000,2552446.000,.00,.00,-26.77,400.000,514745.681,-.02,20180201.000
38738,TIDALE,"February, 2018",01/30/2018,.00,.000,.000,2521051.200,.00,.00,-28.74,240.000,424574.423,-.02,20180201.000
38738,TIDALE,"February, 2018",02/02/2018,.00,.000,.000,2601067.600,.00,.00,-37.18,1015.000,453524.302,-.08,20180201.000
38738,TIDALE,"February, 2018",02/03/2018,.00,.000,.000,2481703.300,.00,157.13,-.43,840.000,474014.297,.28,20180201.000
38738,TIDALE,"February, 2018",02/05/2018,.00,.000,.000,2539316.700,.00,.00,-5.55,910.000,382531.574,-.01,20180201.000
End of Report
The data on this report is preliminary until the end of the billing cycle.  These results are based on load response transactions that have been settled to date.
