Operating Reserve Transaction Credits
Customer Account:,Tidal Energy Marketing Inc.,Report Creation Timestamp (EPT):,03/26/2018 11:59:52 AM
Start Date:,02/01/2018,End Date:,02/28/2018
4000.01,4000.02,4000.04,4000.09,4000.21,4000.22,3000.75,2370.12,2370.13,2370.14,3000.76,2375.15,2375.16,2375.17,4000.07
Customer ID,Customer Code,Date,Transaction ID,Sink PNODE Name,Sink PNODE ID,DA Transaction MWh,DA Offer ($),DA Revenue ($),DA Operating Reserve Transaction Credit ($),RT Transaction MWh,RT Offer ($),Bal Revenue ($),Bal Operating Reserve Transaction Credit ($),Version
38738,TIDALE,02/01/2018,T3619640,IMO,31252687,220.000,4503.00,6508.43,.00,.000,.00,.00,.00,20180201.000
38738,TIDALE,02/02/2018,T3619895,IMO,31252687,665.000,22176.00,31480.12,.00,.000,.00,.00,.00,20180201.000
38738,TIDALE,02/03/2018,T3620074,IMO,31252687,665.000,10314.50,19048.03,.00,.000,.00,.00,.00,20180201.000
38738,TIDALE,02/04/2018,T3620420,IMO,31252687,500.000,8052.50,12217.55,.00,.000,.00,.00,.00,20180201.000
38738,TIDALE,02/05/2018,T3620634,IMO,31252687,770.000,13153.00,22716.87,.00,.000,.00,.00,.00,20180201.000
38738,TIDALE,02/06/2018,T3620915,IMO,31252687,510.000,8334.00,13960.55,.00,.000,.00,.00,.00,20180201.000
38738,TIDALE,02/08/2018,T3621360,IMO,31252687,1200.000,21245.00,37278.33,.00,.000,.00,.00,.00,20180201.000
38738,TIDALE,02/09/2018,T3621587,IMO,31252687,160.000,1096.00,4141.93,.00,.000,.00,.00,.00,20180201.000
End of Report
