Real-Time Daily Energy Transactions
Customer Account:,Tidal Energy Marketing Inc.,Report Creation Timestamp (EPT):,03/26/2018 12:00:20 PM
Start Date:,02/01/2018,End Date:,02/28/2018
4000.01,4000.02,4000.04,4000.11,4000.09,4000.13,4000.14,3006.01,3006.02,3006.25,3006.03,3006.04,3006.05,3006.06,3006.07,3006.08,3006.09,3006.1,3006.11,3006.12,3006.13,3006.14,3006.15,3006.16,3006.17,3006.18,3006.19,3006.2,3006.21,3006.22,3006.23,3006.24,3006.26,4000.23,4000.24,4000.21,4000.22,4000.18,4000.17,4000.07
Customer ID,Customer Code,Date,Transaction Type,Transaction ID,NERC Tag,OASIS ID,EPT HE 01,EPT HE 02,EPT HE 02*,EPT HE 03,EPT HE 04,EPT HE 05,EPT HE 06,EPT HE 07,EPT HE 08,EPT HE 09,EPT HE 10,EPT HE 11,EPT HE 12,EPT HE 13,EPT HE 14,EPT HE 15,EPT HE 16,EPT HE 17,EPT HE 18,EPT HE 19,EPT HE 20,EPT HE 21,EPT HE 22,EPT HE 23,EPT HE 24,Total MWh,Source PNODE Name,Source PNODE ID,Sink PNODE Name,Sink PNODE ID,Seller,Buyer,Version
38738,TIDALE,02/01/2018,Import,MECS3619641,ONT_TIDAL0010838_PJM,SPOT,-10.000000,-10.000000,.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-240.000000,IMO,31252687,IMO,31252687,MECSCA,TIDALE,20180201.000
38738,TIDALE,02/01/2018,RT Net Interchange,,,,-10.000000,-10.000000,.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-240.000000,,,,,,,20180201.000
38738,TIDALE,02/02/2018,Import,MECS3619876,ONT_TIDAL0010844_PJM,SPOT,-35.000000,-35.000000,.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-840.000000,IMO,31252687,IMO,31252687,MECSCA,TIDALE,20180201.000
38738,TIDALE,02/02/2018,Import,MECS3619901,ONT_TIDAL0010845_PJM,SPOT,-35.000000,-35.000000,.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-840.000000,IMO,31252687,IMO,31252687,MECSCA,TIDALE,20180201.000
38738,TIDALE,02/02/2018,RT Net Interchange,,,,-70.000000,-70.000000,.000000,-70.000000,-70.000000,-70.000000,-70.000000,-70.000000,-70.000000,-70.000000,-70.000000,-70.000000,-70.000000,-70.000000,-70.000000,-70.000000,-70.000000,-70.000000,-70.000000,-70.000000,-70.000000,-70.000000,-70.000000,-70.000000,-70.000000,-1680.000000,,,,,,,20180201.000
38738,TIDALE,02/03/2018,Import,MECS3620083,ONT_TIDAL0010847_PJM,SPOT,-35.000000,-35.000000,.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,.000000,.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,.000000,.000000,.000000,-35.000000,-35.000000,-35.000000,-35.000000,-665.000000,IMO,31252687,IMO,31252687,MECSCA,TIDALE,20180201.000
38738,TIDALE,02/03/2018,Import,MECS3620105,ONT_TIDAL0010848_PJM,SPOT,-35.000000,-35.000000,.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-840.000000,IMO,31252687,IMO,31252687,MECSCA,TIDALE,20180201.000
38738,TIDALE,02/03/2018,RT Net Interchange,,,,-70.000000,-70.000000,.000000,-70.000000,-70.000000,-70.000000,-70.000000,-70.000000,-70.000000,-70.000000,-70.000000,-35.000000,-35.000000,-70.000000,-70.000000,-70.000000,-70.000000,-70.000000,-35.000000,-35.000000,-35.000000,-70.000000,-70.000000,-70.000000,-70.000000,-1505.000000,,,,,,,20180201.000
